0	0.05
1.317931962	0.004069767
1.417682106	0.001162791
1.541995003	-0.000581395
6.998270229	-0.009302326
8.486334807	-0.011627907
14.33526811	0
14.85177782	0.020930233
15.59015952	0.048255814
16.27999231	0.070348837
17.21683644	0.097093023
17.95729387	0.113953488
18.64954834	0.123837209
19.49137036	0.129651163
20.21049395	0.129069767
20.73196233	0.125
21.30382472	0.116860465
21.72681145	0.109302326
22.07576398	0.1
22.57393811	0.088372093
23.07280415	0.073255814
23.44724198	0.060465116
