0.000000000e+00	0.050000000e+00
1.317931962e+00	0.004069767e+00
1.417682106e+00	0.001162791e+00
1.541995003e+00	-0.000581395e+00
6.998270229e+00	-0.009302326e+00
8.486334807e+00	-0.011627907e+00
14.33526811e+00	0.000000000e+00
14.85177782e+00	0.020930233e+00
15.59015952e+00	0.048255814e+00
16.27999231e+00	0.070348837e+00
17.21683644e+00	0.097093023e+00
17.95729387e+00	0.113953488e+00
18.64954834e+00	0.123837209e+00
19.49137036e+00	0.129651163e+00
20.21049395e+00	0.129069767e+00
20.73196233e+00	0.125000000e+00
21.30382472e+00	0.116860465e+00
21.72681145e+00	0.109302326e+00
22.07576398e+00	0.100000000e+00
22.57393811e+00	0.088372093e+00
23.07280415e+00	0.073255814e+00
23.44724198e+00	0.060465116e+00
