1.297000000000000063e-02 6.579000000000000126e-02
2.598999999999999921e-02 1.271899999999999975e-01
4.583999999999999880e-02 1.973699999999999899e-01
7.269000000000000461e-02 2.631600000000000050e-01
1.198700000000000043e-01 3.640399999999999747e-01
1.809900000000000120e-01 4.605299999999999949e-01
2.351699999999999902e-01 5.570199999999999596e-01
3.101700000000000013e-01 6.535100000000000353e-01
3.921100000000000141e-01 7.500000000000000000e-01
4.811799999999999966e-01 8.333300000000000152e-01
5.773599999999999843e-01 9.035100000000000353e-01
7.014299999999999979e-01 9.649100000000000454e-01
8.259300000000000530e-01 9.956099999999999950e-01
9.644899999999999585e-01 1.013160000000000061e+00
1.283609999999999918e+00 1.021930000000000005e+00
1.700069999999999970e+00 1.017539999999999889e+00
1.873699999999999921e+00 1.008769999999999945e+00
2.165239999999999831e+00 1.004389999999999894e+00
